World Rank,National Rank,Name,Image URLs,Affiliation,Country,D-Index,Citations,Publications
67,3,Nicholas R. Jennings,https://s.research.com/images/3ac5b504ec1dd4d0c592d8affa4d9a2de01ff4db-65x65.jpeg,Loughborough University,United Kingdom,136,94765,867
68,6,Lei Zhang,https://s.research.com/images/a62decc77465e728dcf8abf0d13f6b615a71a796-65x65.png,Hong Kong Polytechnic University,China,136,91385,558
69,42,Daniela Rus,https://s.research.com/images/b449e5ef74591eabe7e26acb4fe76b7beb508537-65x65.jpeg,MIT,United States,136,66395,844
70,43,Kalyanmoy Deb,https://s.research.com/images/7d19bc2723c1d70b206331f9ce6557b5eb84165d-65x65.jpeg,Michigan State University,United States,135,229641,786
71,44,Richard Szeliski,https://s.research.com/images/eea998d7614c544524756cb6e3e7b630e2a77a59-65x65.png,University of Washington,United States,135,104670,402
72,45,Ronald R. Yager,https://s.research.com/images/5a14639eddfac1b5e08405ea0463919609392134-65x65.jpeg,Iona University,United States,135,102764,1037
73,46,Terrence J. Sejnowski,https://s.research.com/images/52c725b78f89f9177f68d684ec210966434c7edd-65x65.jpeg,Salk Institute for Biological Studies,United States,134,120704,652
74,47,Larry S. Davis,https://s.research.com/images/288ef6347d1f4c86c68ceead4c2c4d7b97d92dd3-65x65.jpeg,"University of Maryland, College Park",United States,134,83087,746
75,48,David E. Culler,https://s.research.com/images/535d3909dbd6b100c9e5f97e579b1f5ea227a30e-65x65.jpeg,"University of California, Berkeley",United States,133,119135,443
76,49,Ben Shneiderman,https://s.research.com/images/3b6d2242c89dcf449d721510bcee3f2c40f8e766-65x65.jpeg,"University of Maryland, College Park",United States,133,113027,778
77,4,Philip H. S. Torr,https://s.research.com/images/765214fbd228fe01143aec7471d96a4bb63ca0ab-65x65.jpeg,University of Oxford,United Kingdom,133,92352,583
78,50,Christos H. Papadimitriou,https://s.research.com/images/16e9bdfee66feaee1b9ca74c0e94d63e4eeed3b7-65x65.jpeg,Columbia University,United States,133,87014,466
79,2,Didier Dubois,https://s.research.com/images/624c73ccd8e178dc63a1b4bfd06b3f15b01d70b0-65x65.jpeg,Paul Sabatier University,France,133,86006,823
80,51,Zhu Han,https://s.research.com/images/f5cb08df012da76ec267be0256bb3b94ef508390-65x65.jpeg,University of Houston,United States,133,74723,1447
81,7,Hans-Peter Seidel,https://s.research.com/images/601791e226ded01acf88064bd14ef9366c485706-65x65.jpeg,Max Planck Institute for Informatics,Germany,133,64110,1099
82,52,Hari Balakrishnan,https://s.research.com/images/06ffc7e8aa355f4768b82dee15a106e4e855264e-65x65.jpeg,MIT,United States,132,155120,309
83,53,William T. Freeman,https://s.research.com/images/326317bdf18dc7d542cd868359a49dfccfb0e6d0-65x65.jpeg,MIT,United States,132,101605,388
84,54,Stephen Grossberg,https://s.research.com/images/16b29e222a1d1fa62a8e456845c34ecde6ce81da-65x65.jpeg,Boston University,United States,132,80872,588
85,55,Vince D. Calhoun,https://s.research.com/images/840e3d556e332511e61d30a18159383e50e6bf5f-65x65.jpeg,Georgia State University,United States,132,74622,1059
86,7,Hong-Jiang Zhang,https://s.research.com/images/86cd0138a90d04ce6f51eda7a6ed1d9441234abc-65x65.jpeg,ByteDance,China,132,68933,538
87,56,MengChu Zhou,https://s.research.com/images/1a8a222e0f7a9771dd6fc8120e4125729dec0fa5-65x65.jpeg,New Jersey Institute of Technology,United States,132,64324,1320
88,57,Mubarak Shah,https://s.research.com/images/28796efa4d47a629dd516fca58a6a2d6a9cef8ae-65x65.jpeg,University of Central Florida,United States,131,87657,626
89,8,Daniel Rueckert,https://s.research.com/images/4e594a99fdcd97198755293f8f425794c3f55b3d-65x65.jpeg,Technical University of Munich,Germany,130,88991,929
90,58,Dieter Fox,https://s.research.com/images/414ccd6f6fbe42e25c939c387cb6363c0652b8fd-65x65.jpeg,University of Washington,United States,130,82970,387
91,3,Dusit Niyato,https://s.research.com/images/3a65d87daa1487ea921cd0aeb38e1cbf1a946a63-65x65.jpeg,Nanyang Technological University,Singapore,130,78721,1571
92,8,Liangpei Zhang,https://s.research.com/images/ea7a67204234056c3c247d7482b507a54a381f67-65x65.jpeg,Wuhan University,China,130,66318,855
93,59,Hojjat Adeli,https://s.research.com/images/a7c5d70eb284bcc634e1952540f805794b1d6cac-65x65.jpeg,The Ohio State University,United States,130,46904,565
94,60,John A. Stankovic,https://s.research.com/images/1590827f1bb021b0265afa90333c39ce27468d7e-65x65.jpeg,University of Virginia,United States,129,70806,606
95,2,U. Rajendra Acharya,https://s.research.com/images/6d65bc5dc3cf66dc869417454a074bd235b100c6-65x65.jpeg,University of Southern Queensland,Australia,129,65748,649
96,61,Joshua B. Tenenbaum,https://s.research.com/images/f75eb285821c889d8a09edc87685468ff522af1f-65x65.jpeg,MIT,United States,128,98388,629
97,2,Luca Benini,https://s.research.com/images/cf161bed6e9648e1f835d2b327cb86e14acfdea7-65x65.jpeg,ETH Zurich,Switzerland,127,68546,1600
98,2,Enrique Herrera-Viedma,https://s.research.com/images/b3727636df792f7ff00a777fcd751b1d402b5e15-65x65.jpeg,University of Granada,Spain,127,64550,828
99,62,Charu C. Aggarwal,https://s.research.com/images/e9ca03f0158a96c6f6a21dce3dc36b0838d9eff4-65x65.png,IBM (United States),United States,125,85342,681
100,3,Henri Prade,https://s.research.com/images/6b6616deb7895c053e0d563fa15610878f21a793-65x65.png,Paul Sabatier University,France,125,82375,940
101,3,Onur Mutlu,https://s.research.com/images/51f0c55e148b4b7e7dbe0a342dc93c3eed82b451-65x65.jpeg,ETH Zurich,Switzerland,125,52017,582
102,9,Xin Yao,https://s.research.com/images/2f6b369a7f558a1265ba474079c332b4adb83c42-65x65.jpeg,Lingnan University,China,124,74911,884
103,63,W. Bruce Croft,https://s.research.com/images/57645e10bd5290a602e92be66d9159553d3a5b13-65x65.jpeg,University of Massachusetts Amherst,United States,124,67727,523
104,10,Chunhua Shen,https://s.research.com/images/21699e467298cb009c16229f267e1cf285e4469f-65x65.jpeg,Zhejiang University,China,124,63719,521
105,64,Shree K. Nayar,https://s.research.com/images/76cadb621cb16db7663007d6876208972272d9ec-65x65.jpeg,Columbia University,United States,124,62802,407
106,65,Jon Kleinberg,https://s.research.com/images/f4011086feee261c6bf976671858aa2309c28f66-65x65.jpeg,Cornell University,United States,123,128802,395
107,66,Randy H. Katz,https://s.research.com/images/e79b04674c41d6969112e272a5c13d777d11612b-65x65.jpeg,"University of California, Berkeley",United States,123,89251,451
108,11,Zhi-Hua Zhou,https://s.research.com/images/135fd024216cbc9ba13b9dce6db19bb84b0525f4-65x65.jpeg,Nanjing University,China,123,83245,652
109,67,Alberto Sangiovanni-Vincentelli,https://s.research.com/images/d1e00a8dcf9de8078697a15be204028a2896ff77-65x65.jpeg,"University of California, Berkeley",United States,123,65888,1074
110,68,Amit P. Sheth,https://s.research.com/images/ab8f667fd461311ab8872438a192d34800e5dd78-65x65.jpeg,University of South Carolina,United States,123,61781,889
111,4,Marc Pollefeys,https://s.research.com/images/7a80ae05fbf7dda45b3a002256d04b84321e6f7b-65x65.jpeg,ETH Zurich,Switzerland,123,57850,647
112,5,Zoubin Ghahramani,https://s.research.com/images/3692f85465d385b7c66ee472ff9a5f0938184e29-65x65.jpeg,University of Cambridge,United Kingdom,122,91534,425
113,69,Alan C. Bovik,https://s.research.com/images/b6ac1e156abdb1a53f6f57eb3e9d5105a1c3076a-65x65.jpeg,The University of Texas at Austin,United States,121,159388,913
114,70,Judea Pearl,https://s.research.com/images/5cac503a908840abcc33462db6d7fc80245cd3aa-65x65.jpeg,"University of California, Los Angeles",United States,121,124956,439
115,71,Andrew McCallum,https://s.research.com/images/3012a4308c56231e37d3b1757d3cdcb7ff6b87b3-65x65.jpeg,University of Massachusetts Amherst,United States,121,112538,442
116,72,Theodore S. Rappaport,https://s.research.com/images/fbea709f0a2c90ce95908de74e4e1f59995041e0-65x65.png,New York University,United States,121,106862,433
117,73,Robert E. Tarjan,https://s.research.com/images/52a43795151783e5c00546845a564102d1995c17-65x65.png,Princeton University,United States,121,94501,400
118,74,Ron Kikinis,https://s.research.com/images/f6518844f8a845f7088f3f611e10c15fe8a6ac7a-65x65.jpeg,Brigham and Women's Hospital,United States,121,66930,573
119,1,Noga Alon,https://s.research.com/images/900680ff8ea06389d1fc996bf3d5e59fcac1119e-65x65.jpeg,Tel Aviv University,Israel,121,57827,917
120,75,Mark Horowitz,https://s.research.com/images/7518c90461810180ecb039fc709751537869114d-65x65.jpeg,Stanford University,United States,121,54973,429
121,1,Ponnuthurai Nagaratnam Suganthan,https://s.research.com/images/d66fa099eb808246f35e66ff44f558cdad37494c-65x65.jpeg,Qatar University,Qatar,120,71107,595
122,76,Rosalind W. Picard,https://s.research.com/images/06a2bbcc1a9c6a86d48d36572bfc18146f622aca-65x65.png,MIT,United States,120,69981,430
123,77,Martial Hebert,https://s.research.com/images/cb7715f36b53d3dcef489e318d31ae79fce6f533-65x65.jpeg,Carnegie Mellon University,United States,120,59012,519
124,2,Daniel Cohen-Or,https://s.research.com/images/1b2f88db8af1d7dac2d0f0152047fbaa721b1b7e-65x65.jpeg,Tel Aviv University,Israel,120,58928,484
125,78,Kim-Kwang Raymond Choo,https://s.research.com/images/516960e664f3df665c8cb7a5fbc350b8932da67c-65x65.jpeg,The University of Texas at San Antonio,United States,120,52512,1077
126,79,David L. Donoho,https://s.research.com/images/82e0df743509cb71d4eb24d04c2af92851985577-65x65.jpeg,Stanford University,United States,119,168349,264
127,80,Jason Weston,https://s.research.com/images/435a4f74f7d8bf83330a8fb29821b947449b692e-65x65.jpeg,Facebook (United States),United States,119,110871,286
128,6,Pushmeet Kohli,https://s.research.com/images/a5060a8712b8202150024b672c125f5d2bc04f92-65x65.jpeg,DeepMind (United Kingdom),United Kingdom,119,102490,395
129,81,Richard G. Baraniuk,https://s.research.com/images/5319fb0d44410c5ae0df9e1f1b1f2ff717d124ab-65x65.jpeg,Rice University,United States,119,77910,740
130,12,Stan Z. Li,https://s.research.com/images/0b0bd9decace2afedf33ece4cd7023735c94149b-65x65.jpeg,Westlake University,China,119,67232,611
131,13,Qi Tian,https://s.research.com/images/01d703c0b6d08f8b70947099ff2c1a491e42c246-65x65.jpeg,Huawei Technologies (China),China,119,66319,994
132,14,Tieniu Tan,https://s.research.com/images/deb67468f52f8cd9143d5f1c76148469ef374456-65x65.jpeg,Chinese Academy of Sciences,China,119,62310,758
133,2,Ling Shao,https://s.research.com/images/7defc1f9061ecb298adefa46767c79d3fa54b775-65x65.jpeg,Terminus International,United Arab Emirates,119,56957,815
134,1,Neeraj Kumar,https://s.research.com/images/35d69a4fbe3575611efe800768082525feda0151-65x65.jpeg,Thapar University,India,119,53625,796
135,1,Marco Dorigo,https://s.research.com/images/7c9e5565640fb89a9dc07165998bbd73c7f278ad-65x65.jpeg,Université Libre de Bruxelles,Belgium,118,160695,523
136,5,Martin Vetterli,https://s.research.com/images/640eab9748ff1afbd28cc392855691856029d773-65x65.jpeg,École Polytechnique Fédérale de Lausanne,Switzerland,118,80904,757
137,1,Andrzej Cichocki,https://s.research.com/images/8bbeb511c986bb3433fdeccf7e633fc5709026f1-65x65.jpeg,Systems Research Institute,Poland,118,62785,978
138,4,Tat-Seng Chua,https://s.research.com/images/80dbb6c838fd93d82f6b45e423fc595a8171ed4b-65x65.jpeg,National University of Singapore,Singapore,118,62006,713
139,15,Wei-Ying Ma,https://s.research.com/images/6ec8f794beabaf5d3e65c77774c90f9169e768e2-65x65.jpeg,Tsinghua University,China,118,59896,492
140,82,Sushil Jajodia,https://s.research.com/images/a4d52abb84d9ea73af352476e37aa0b442c00c1e-65x65.jpeg,George Mason University,United States,118,53009,775
141,83,Mark Newman,https://s.research.com/images/3e64800ef2349932026f4dfd8342337e82c4fa53-65x65.jpeg,University of Michigan–Ann Arbor,United States,117,225928,338
142,84,Stanley Osher,https://s.research.com/images/c3de81b42a94a806a9866e38840b312d4aad4244-65x65.jpeg,"University of California, Los Angeles",United States,117,141381,436
143,85,Jeffrey D. Ullman,https://s.research.com/images/62651f03c35b7e813461af01eefce3b864288736-65x65.jpeg,Stanford University,United States,117,133242,382
144,86,Susan T. Dumais,https://s.research.com/images/9007add305e79cb56958386d14044ea614b529e7-65x65.jpeg,Microsoft (United States),United States,117,101073,371
145,87,Guillermo Sapiro,https://s.research.com/images/554c13ec83de1de520620fd3c5cc0244af34f720-65x65.jpeg,Duke University,United States,117,85355,616
146,5,Chen Change Loy,https://s.research.com/images/bc6fbb03ab389a2ed36f7eab444b4f8ebca4f3b7-65x65.jpeg,Nanyang Technological University,Singapore,117,75504,300
147,1,Thomas A. Henzinger,https://s.research.com/images/2f5eca6562e3fea5b758202fc81ad2d70e3ef103-65x65.jpeg,Institute of Science and Technology Austria (ISTA),Austria,117,73349,584
148,88,Mani Srivastava,https://s.research.com/images/09002dff54e433dd2913f24d886b34227a3998ef-65x65.jpeg,"University of California, Los Angeles",United States,117,72585,612
149,3,Merouane Debbah,https://s.research.com/images/029469651f533b10176920fec6e033a598f0bdd9-65x65.jpeg,Khalifa University,United Arab Emirates,117,69781,846
150,16,Victor C. M. Leung,https://s.research.com/images/930b3ecce5845e558afae40ca988a09fed35c540-65x65.jpeg,Shenzhen University,China,117,59055,1607
151,89,David A. Patterson,https://s.research.com/images/14c141e0ad858e8fa5cf031ffc277833258d1a57-65x65.jpeg,"University of California, Berkeley",United States,116,117585,460
152,90,Bing Liu,https://s.research.com/images/da2474ac2e9c41097a9a2bcfe7eb156922a4ca71-65x65.jpeg,University of Illinois at Chicago,United States,116,89433,468
153,4,Mohsen Guizani,https://s.research.com/images/46047439e4a8f530d8e2f8f42ac28fe1c396acaa-65x65.jpeg,Mohamed bin Zayed University of Artificial Intelligence,United Arab Emirates,116,69001,1278
154,91,Jennifer Rexford,https://s.research.com/images/2306f1613664e0da2d6e8c1a9e8ed130350f31ca-65x65.jpeg,Princeton University,United States,116,64625,424
155,4,Nicholas Ayache,https://s.research.com/images/7e334dd9d4f321a075ba19f38ce1223ef57e8e25-65x65.jpeg,French Institute for Research in Computer Science and Automation - INRIA,France,116,61274,687
156,92,Heung-Yeung Shum,https://s.research.com/images/c90221bc766498f0b93cdd1283e94b7c784d4a0d-65x65.jpeg,Microsoft (United States),United States,116,57648,456
157,93,Kang G. Shin,https://s.research.com/images/1e4e96e02f04b3abb9243981c770e353fd1fed23-65x65.jpeg,University of Michigan–Ann Arbor,United States,116,55328,989
158,94,Tong Zhang,https://s.research.com/images/7788f810ff248865329f098c8c4bd44dc3fbe4e5-65x65.jpeg,University of Illinois at Urbana-Champaign,United States,116,52560,441
159,95,Thomas Kailath,https://s.research.com/images/4d7c4b4739168c94c686b22577caa0ebc4139735-65x65.jpeg,Stanford University,United States,115,76720,641
160,1,Max A. Viergever,https://s.research.com/images/4e567b46a145d23ec47c45803ddbbcf349d98e30-65x65.jpeg,Utrecht University,Netherlands,115,69355,634
161,6,Pascal Fua,https://s.research.com/images/b4787d1a0e30ce9a17ed8c9eb23a1051697fc203-65x65.jpeg,École Polytechnique Fédérale de Lausanne,Switzerland,115,69152,563
162,5,Raquel Urtasun,https://s.research.com/images/0a4e7aa481b4ace0fe4805d83aa232a023032836-65x65.jpeg,University of Toronto,Canada,115,68664,354
163,96,Moshe Y. Vardi,https://s.research.com/images/941a4eb01db0788faebe1aec8d2eb66f9dcc1d32-65x65.jpeg,Rice University,United States,115,66989,828
164,97,Kishor S. Trivedi,https://s.research.com/images/3a31d1ccc32c0b7b76abe7dee4d399cf0afb14a5-65x65.jpeg,Duke University,United States,115,55809,771
165,98,Noah A. Smith,https://s.research.com/images/8c4c6fe35a6bd0ed464ad5be32c92f148078701c-65x65.jpeg,University of Washington,United States,115,54237,426
166,99,David E. Goldberg,https://s.research.com/images/b88cb579d3df346f3709774b80171ea1e42d402b-48x48.jpeg,University of Illinois at Urbana-Champaign,United States,114,299580,487
167,100,Ruslan Salakhutdinov,https://s.research.com/images/30f762f92e305fe92f44d1ea278715e33796c22a-65x65.jpeg,Carnegie Mellon University,United States,114,180735,347
168,3,Yonina C. Eldar,https://s.research.com/images/6fe9d5aa3ec1ac3b3286dace00cdd71f0b3386db-65x65.jpeg,Weizmann Institute of Science,Israel,114,87353,936
169,101,Dan Jurafsky,https://s.research.com/images/428aebcd00e243b6f430334f187f38df592b96d4-65x65.jpeg,Stanford University,United States,114,65834,339
170,9,Hermann Ney,https://s.research.com/images/db0492f413e9675832397d349998de80ec2daff9-65x65.jpeg,RWTH Aachen University,Germany,114,64597,984
171,102,Elisa Bertino,https://s.research.com/images/3d55a9e81fb53fcb56f3e9f8fae2d8dec9ec1751-65x65.jpeg,Purdue University West Lafayette,United States,114,54679,1457
172,103,Pietro Perona,https://s.research.com/images/5fa39f35eb304be36a03617dcfa6d9686690cd17-65x65.jpeg,California Institute of Technology,United States,113,181078,407
173,104,Vipin Kumar,https://s.research.com/images/11601ff87b746251156c9859e25be5d18ac063a7-65x65.png,University of Minnesota,United States,113,90704,609
174,105,Mihir Bellare,https://s.research.com/images/febaecb33b81fc6b6a368cc8bcd0004089e3bbf2-65x65.jpeg,"University of California, San Diego",United States,113,71920,297
